0.746824;0.5208;15
0.746824;1.2118;0
0.746824;0.2852;0
0.746824;0.5931;0
0.746824;1.1081;0
0.746824;2.4169;0
0.746824;3.2348;16
0.746824;0.2199;0
0.746824;0.2606;0
0.746824;0.4632;0
0.746824;1.3054;0
0.746824;2.0682;0
0.746824;0.9317;0
0.746824;0.1654;0
0.746824;0.1902;0
0.746824;1.1143;0
0.746824;4.3378;15
0.746824;2.7043;0
0.746824;2.5685;0
0.746824;1.2999;0
0.746824;1.1746;0
0.746824;2.6089;0
0.746824;2.0923;0
0.746824;2.6304;0
0.746824;12.5933;16
0.746824;5.8896;0
0.746824;5.6221;15
0.746824;5.0905;0
0.746824;3.7645;16
0.746824;6.1194;0
0.746824;147.151;156
0.746824;75.2995;78
0.746824;88.5023;78
0.746824;46.8718;47
0.746824;51.3179;47
0.746824;138.804;140
0.746824;1237.3;1235
0.746824;543;547
0.746824;312.287;313
0.746824;298.106;297
0.746824;332.654;343
0.746824;354.316;344
